Relative GIT Repository,Layer subdirectory in repository,Tag/Branch to checkout in develop MSC-LDK branch
bitbake,,dunfell-08.03.00.005-msc
meta-processor-sdk,,dunfell-08.03.00.005-msc
meta-arago,meta-arago-distro,dunfell-08.03.00.005-msc
meta-arago,meta-arago-extras,dunfell-08.03.00.005-msc
meta-qt5,,dunfell-08.03.00.005-msc
meta-virtualization,,dunfell-08.03.00.005-msc
meta-ti,,dunfell-08.03.00.005-msc
meta-openembedded,meta-networking,dunfell-08.03.00.005-msc
meta-openembedded,meta-python,dunfell-08.03.00.005-msc
meta-openembedded,meta-oe,dunfell-08.03.00.005-msc
meta-openembedded,meta-gnome,dunfell-08.03.00.005-msc
meta-openembedded,meta-webserver,dunfell-08.03.00.005-msc
meta-openembedded,meta-multimedia,dunfell-08.03.00.005-msc
meta-openembedded,meta-filesystems,dunfell-08.03.00.005-msc
meta-openembedded,meta-perl,dunfell-08.03.00.005-msc
yocto,meta,dunfell-08.03.00.005-msc
yocto,meta-poky,dunfell-08.03.00.005-msc
yocto,meta-skeleton,dunfell-08.03.00.005-msc
yocto,meta-yocto-bsp,dunfell-08.03.00.005-msc
yocto,meta-selftest,dunfell-08.03.00.005-msc
meta-arm,meta-arm,dunfell-08.03.00.005-msc
meta-arm,meta-arm-toolchain,dunfell-08.03.00.005-msc
